channel,height [mm],v_avg [mm/s],mdot [g/s]
18,2.8440570163974424,157.48072003577363,0.4783402687450876
17,2.707527837315072,153.65429620218055,0.44431286762221067
16,2.658954118528587,152.26976033858224,0.4324100312134493
15,2.6956348998902193,153.31645810884987,0.44138858847976514
14,2.651156185198739,152.04631509817332,0.4305092286614241
13,2.483914475403838,147.17246422317413,0.3904221536348018
12,2.5976597487235793,150.50446175734996,0.4175446203074808
11,2.5136250370292927,148.05002641977285,0.3974479263552174
10,2.7276107829299323,154.2231047124555,0.4492655244211882
9,2.6742886019481773,152.70820740545713,0.43615605414556025
8,2.5588879014410937,149.37704810500958,0.4082313813870181
7,2.466663181556799,146.66050232825228,0.38636188144888245
6,2.756319375468312,155.03259319924854,0.4563770556157502
5,2.657952149441512,152.241067859924,0.4321656377530618
