channel,height [mm],v_avg [mm/s],mdot [g/s]
18,3.9132319637657718,184.72515455139708,0.772027701094642
17,4.163377547719185,190.5377973424467,0.8472238809938348
16,3.8060821740537047,182.17858424564704,0.7405369550071339
15,3.8354577806535106,182.88026642396008,0.7491267495570607
14,4.0071821417017155,186.92947406880208,0.7999965608629391
13,4.011193788417988,187.02301953236898,0.8011981932876948
12,4.058039469427371,188.1119458551388,0.8152745686156015
11,4.042769330313815,187.75768575570072,0.8106771624221075
10,4.242834034293109,192.3473752850189,0.8715926536043309
9,4.250469103849888,192.52036408019552,0.8739463858229694
8,4.0765448075056625,188.54036894376063,0.8208576038404458
7,3.9919120025881596,186.57296873493962,0.7954281086326136
6,4.004982206405694,186.87815506328621,0.7993378564284037
5,4.300938207699774,193.6599627469293,0.8895580613294221
